issn,title,subject_areas
1413-8557,Psicologia Escolar e Educacional,"Human Sciences; PSYCHOLOGY, EDUCATIONAL; en; es; pt"
0103-6564,Psicologia USP,"Human Sciences; PSYCHOLOGY, MULTIDISCIPLINARY; en; es; fr; pt"
1413-7372,Psicologia em Estudo,"Human Sciences; PSYCHOLOGY, MULTIDISCIPLINARY; en; es; pt"
1414-9893,Psicologia: Ciência e Profissão,"Human Sciences; PSYCHOLOGY; PSYCHOLOGY, MULTIDISCIPLINARY; en; es; pt"
0102-7972,Psicologia: Reflexão e Crítica,"Human Sciences; PHYSICS, MULTIDISCIPLINARY; pt"
0102-3772,Psicologia: Teoria e Pesquisa,"Human Sciences; PSYCHOLOGY, MULTIDISCIPLINARY; en; es; fr; pt"
1983-3288,Psychology & Neuroscience,"Health Sciences; Human Sciences; NEUROSCIENCES; PSYCHOLOGY, BIOLOGICAL; en; pt"
0100-4042,Química Nova,"CHEMISTRY, MULTIDISCIPLINARY; Exact and Earth Sciences; en; pt"
1676-5648,RAE eletrônica,Applied Social Sciences; MANAGEMENT; en; es; fr; pt
1678-6971,RAM. Revista de Administração Mackenzie,Applied Social Sciences; MANAGEMENT; en; es; pt
2531-0488,RAUSP Management Journal,Applied Social Sciences; BUSINESS; en; es; pt
2318-0331,RBRH,"ENGINEERING, ENVIRONMENTAL; ENGINEERING, GEOLOGICAL; ENGINEERING, MARINE; ENGINEERING, OCEAN; Engineering; en; es; pt"
1678-765X,RDBCI: Revista Digital de Biblioteconomia e Ciência da Informação,Applied Social Sciences; INFORMATION SCIENCE & LIBRARY SCIENCE; en; es; pt
1413-2311,REAd. Revista Eletrônica de Administração (Porto Alegre),Applied Social Sciences; MANAGEMENT; en; es; pt
2965-1506,REGEPE Entrepreneurship and Small Business Journal,"Applied Social Sciences; BUSINESS; BUSINESS, FINANCE; en; es; pt"
2448-167X,REM - International Engineering Journal,"ENGINEERING, MECHANICAL; Engineering; GEOLOGY; MECHANICS; METALLURGY & METALLURGICAL ENGINEERING; en; es; pt"
1980-8585,REMHU: Revista Interdisciplinar da Mobilidade Humana,ANTHROPOLOGY; Applied Social Sciences; DEMOGRAPHY; Human Sciences; SOCIOLOGY; en; es; it; pt
1981-8637,RGO - Revista Gaúcha de Odontologia,"DENTISTRY, ORAL SURGERY & MEDICINE; Health Sciences; en; es; pt"
0100-3984,Radiologia Brasileira,"Health Sciences; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING; en; pt"
0100-8587,Religião & Sociedade,Human Sciences; RELIGION; en; es; pt
0370-4467,Rem: Revista Escola de Minas,"ENGINEERING, CIVIL; Engineering; METALLURGY & METALLURGICAL ENGINEERING; en; es; pt"
2446-4740,Research on Biomedical Engineering,"ENGINEERING, BIOMEDICAL; Engineering; en; es; pt"
1980-993X,Revista Ambiente & Água,"Agricultural Sciences; Biological Sciences; ENGINEERING, ENVIRONMENTAL; en; es; pt"
1984-249X,Revista Archai,"HUMANITIES, MULTIDISCIPLINARY; Human Sciences; en; es; it; pt"
1983-8042,Revista Bioética,ETHICS; Health Sciences; Human Sciences; MEDICAL ETHICS; en; es; pt
0034-7094,Revista Brasileira de Anestesiologia,ANESTHESIOLOGY; Health Sciences; en; es; pt
2317-1634,Revista Brasileira de Atividade Física e Saúde,Health Sciences; SPORT SCIENCES; en; es; pt
0034-7108,Revista Brasileira de Biologia,BIOLOGY; Biological Sciences; en; pt
2176-9745,Revista Brasileira de Cancerologia,HEALTH CARE SCIENCES & SERVICES; Health Sciences; en; es; pt
2179-8397,Revista Brasileira de Cardiologia Invasiva,CARDIAC & CARDIOVASCULAR SYSTEMS; Health Sciences; en; es; pt
1980-0037,Revista Brasileira de Cineantropometria & Desempenho Humano,Health Sciences; SPORT SCIENCES; en; es; pt
1983-5175,Revista Brasileira de Cirurgia Plástica,Health Sciences; SURGERY; en; es; pt
0100-0683,Revista Brasileira de Ciência do Solo,Agricultural Sciences; SOIL SCIENCE; en; pt
1516-9332,Revista Brasileira de Ciências Farmacêuticas,Health Sciences; PHARMACOLOGY & PHARMACY; en; es; pt
0101-3289,Revista Brasileira de Ciências do Esporte,Health Sciences; SPORT SCIENCES; en; es; pt
0101-9880,Revista Brasileira de Coloproctologia,GASTROENTEROLOGY & HEPATOLOGY; Health Sciences; SURGERY; pt
2525-510X,Revista Brasileira de Direito Processual Penal,Applied Social Sciences; LAW; en; es; pt
0034-7140,Revista Brasileira de Economia,Applied Social Sciences; ECONOMICS; en; pt
1413-2478,Revista Brasileira de Educação,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; fr; pt
1413-6538,Revista Brasileira de Educação Especial,"EDUCATION & EDUCATIONAL RESEARCH; EDUCATION, SPECIAL; Human Sciences; en; es; pt"
1807-5509,Revista Brasileira de Educação Física e Esporte,Health Sciences; SPORT SCIENCES; en; pt
0100-5502,Revista Brasileira de Educação Médica,HEALTH CARE SCIENCES & SERVICES; Health Sciences; Human Sciences; en; es; pt
0034-7167,Revista Brasileira de Enfermagem,Health Sciences; NURSING; en; es; pt
1415-4366,Revista Brasileira de Engenharia Agrícola e Ambiental,AGRICULTURAL ENGINEERING; Agricultural Sciences; ENVIRONMENTAL SCIENCES; en; pt
1517-3151,Revista Brasileira de Engenharia Biomédica,"ENGINEERING, BIOMEDICAL; Engineering; en; es; pt"
1806-1117,Revista Brasileira de Ensino de Física,"EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; PHYSICS, MULTIDISCIPLINARY; en; es; pt"
0085-5626,Revista Brasileira de Entomologia,Biological Sciences; ENTOMOLOGY; en; es; pt
1415-790X,Revista Brasileira de Epidemiologia,"Health Sciences; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; en; es; pt"
2176-6681,Revista Brasileira de Estudos Pedagógicos,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; es; pt
2317-1529,Revista Brasileira de Estudos Urbanos e Regionais,Applied Social Sciences; BEHAVIORAL SCIENCES; en; es; fr; pt
2237-2660,Revista Brasileira de Estudos da Presença,"ART; Linguistics, Letters and Arts; en; es; fr; pt"
0102-3098,Revista Brasileira de Estudos de População,Applied Social Sciences; DEMOGRAPHY; en; es; pt
0102-695X,Revista Brasileira de Farmacognosia,Health Sciences; PHARMACOLOGY & PHARMACY; en; es; pt
0103-3131,Revista Brasileira de Fisiologia Vegetal,Biological Sciences; PLANT SCIENCES; en; pt
0100-2945,Revista Brasileira de Fruticultura,Agricultural Sciences; HORTICULTURE; en; pt
2177-4382,Revista Brasileira de Geociências,Exact and Earth Sciences; GEOLOGY; en; es; pt
0102-261X,Revista Brasileira de Geofísica,"Exact and Earth Sciences; GEOCHEMISTRY & GEOPHYSICS; GEOSCIENCES, MULTIDISCIPLINARY; en; pt"
1809-9823,Revista Brasileira de Geriatria e Gerontologia,GERIATRICS & GERONTOLOGY; Health Sciences; Human Sciences; en; es; pt
1806-4892,Revista Brasileira de Gestão de Negócios,Applied Social Sciences; MANAGEMENT; en; es; pt
0100-7203,Revista Brasileira de Ginecologia e Obstetrícia,Health Sciences; OBSTETRICS & GYNECOLOGY; en; es; pt
1516-8484,Revista Brasileira de Hematologia e Hemoterapia,"HEMATOLOGY; Health Sciences; MEDICINE, RESEARCH & EXPERIMENTAL; en; pt"
0102-0188,Revista Brasileira de História,HISTORY; Human Sciences; en; es; it; pt
2238-0094,Revista Brasileira de História da Educação,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; es; fr; pt
2178-2822,Revista Brasileira de Inovação,"ECONOMICS; ENGINEERING, MULTIDISCIPLINARY; HISTORY; Human Sciences; en; es; pt"
1984-6398,Revista Brasileira de Linguística Aplicada,"LINGUISTICS; Linguistics, Letters and Arts; en; pt"
2596-304X,Revista Brasileira de Literatura Comparada,"LANGUAGE & LINGUISTICS; Linguistics, Letters and Arts; en; es; pt"
1517-8692,Revista Brasileira de Medicina do Esporte,Health Sciences; PHYSIOLOGY; SPORT SCIENCES; en; pt
0102-7786,Revista Brasileira de Meteorologia,Exact and Earth Sciences; METEOROLOGY & ATMOSPHERIC SCIENCES; en; es; pt
1413-7739,Revista Brasileira de Oceanografia,Biological Sciences; Exact and Earth Sciences; OCEANOGRAPHY; en; es; pt
0034-7280,Revista Brasileira de Oftalmologia,Health Sciences; OPHTHALMOLOGY; en; pt
0102-3616,Revista Brasileira de Ortopedia,Health Sciences; ORTHOPEDICS; en; es; pt
0034-7299,Revista Brasileira de Otorrinolaringologia,Health Sciences; OTORHINOLARYNGOLOGY; en; pt
1984-2961,Revista Brasileira de Parasitologia Veterinária,Biological Sciences; PARASITOLOGY; VETERINARY SCIENCES; en; es; pt
1982-6125,Revista Brasileira de Pesquisa em Turismo,"Applied Social Sciences; SOCIAL SCIENCES, INTERDISCIPLINARY; en; es; pt"
1516-0572,Revista Brasileira de Plantas Medicinais,Agricultural Sciences; Biological Sciences; PHARMACOLOGY & PHARMACY; en; pt
2318-0498,Revista Brasileira de Psicodrama,Human Sciences; PSYCHOLOGY; en; es; pt
0482-5004,Revista Brasileira de Reumatologia,Health Sciences; RHEUMATOLOGY; en; es; pt
1519-3829,Revista Brasileira de Saúde Materno Infantil,Health Sciences; PEDIATRICS; en; es; pt
0303-7657,Revista Brasileira de Saúde Ocupacional,"Health Sciences; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; en; es; pt"
1519-9940,Revista Brasileira de Saúde e Produção Animal,AGRONOMY; Agricultural Sciences; en; es; pt
0101-3122,Revista Brasileira de Sementes,Agricultural Sciences; PLANT SCIENCES; en; pt
0103-507X,Revista Brasileira de Terapia Intensiva,CRITICAL CARE MEDICINE; Health Sciences; en; es; pt
0101-8175,Revista Brasileira de Zoologia,Biological Sciences; ZOOLOGY; en; es; pt
1516-3598,Revista Brasileira de Zootecnia,"AGRICULTURE, DAIRY & ANIMAL SCIENCE; Agricultural Sciences; VETERINARY SCIENCES; pt"
1516-1846,Revista CEFAC,Health Sciences; REHABILITATION; en; es; pt
1983-2125,Revista Caatinga,"AGRICULTURE, DAIRY & ANIMAL SCIENCE; AGRONOMY; Agricultural Sciences; FISHERIES; FOOD SCIENCE & TECHNOLOGY; FORESTRY; VETERINARY SCIENCES; en; es; pt"
0034-737X,Revista Ceres,"AGRICULTURE, MULTIDISCIPLINARY; Agricultural Sciences; Biological Sciences; en; es; pt"
1806-6690,Revista Ciência Agronômica,AGRONOMY; Agricultural Sciences; en; es; pt
1519-7077,Revista Contabilidade & Finanças,"Applied Social Sciences; BUSINESS, FINANCE; en; es; pt"
1415-5419,Revista Dental Press de Ortodontia e Ortopedia Facial,"DENTISTRY, ORAL SURGERY & MEDICINE; Health Sciences; en; pt"
1808-2432,Revista Direito GV,Applied Social Sciences; LAW; en; es; pt
2179-8966,Revista Direito e Práxis,Applied Social Sciences; SOCIOLOGY; en; es; pt
1806-0013,Revista Dor,CLINICAL NEUROLOGY; CRITICAL CARE MEDICINE; Health Sciences; NEUROSCIENCES; en; es; pt
0104-026X,Revista Estudos Feministas,"Human Sciences; PSYCHOLOGY, MULTIDISCIPLINARY; WOMEN'S STUDIES; en; es; pt"
1983-1447,Revista Gaúcha de Enfermagem,Health Sciences; NURSING; en; es; it; pt
1983-4195,Revista IBRACON de Estruturas e Materiais,"ENGINEERING, CIVIL; Engineering; en; es; pt"
1414-4980,Revista Katálysis,Applied Social Sciences; FAMILY STUDIES; SOCIAL WORK; en; es; fr; pt
0104-1169,Revista Latino-Americana de Enfermagem,Health Sciences; NURSING; en; es; pt
1415-4714,Revista Latinoamericana de Psicopatologia Fundamental,"Human Sciences; PSYCHOLOGY, MULTIDISCIPLINARY; en; es; fr; pt"
1806-6755,Revista NERA,"HUMANITIES, MULTIDISCIPLINARY; Human Sciences; en; es; pt"
1980-6523,Revista Odonto Ciência,"DENTISTRY, ORAL SURGERY & MEDICINE; Health Sciences; en; es; pt"
0103-0582,Revista Paulista de Pediatria,Health Sciences; PEDIATRICS; en; pt
2317-9937,Revista Vórtex,"Linguistics, Letters and Arts; MUSIC; es"
0104-4230,Revista da Associação Médica Brasileira,"Health Sciences; MEDICINE, GENERAL & INTERNAL; en; pt"
1983-3083,Revista da Educação Física / UEM,Health Sciences; SPORT SCIENCES; en; es; pt
0080-6234,Revista da Escola de Enfermagem da USP,Health Sciences; NURSING; en; es; pt
0102-2555,Revista da Faculdade de Educação,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; pt
1516-8034,Revista da Sociedade Brasileira de Fonoaudiologia,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY; Health Sciences; REHABILITATION; en; es; pt
0037-8682,Revista da Sociedade Brasileira de Medicina Tropical,Health Sciences; TROPICAL MEDICINE; en; pt
0080-2107,Revista de Administração (São Paulo),Applied Social Sciences; MANAGEMENT; en; es; pt
1415-6555,Revista de Administração Contemporânea,Applied Social Sciences; MANAGEMENT; en; es; pt
1983-4659,Revista de Administração da UFSM,"Applied Social Sciences; BUSINESS; BUSINESS, FINANCE; en; es; pt"
0034-7590,Revista de Administração de Empresas,Applied Social Sciences; MANAGEMENT; en; es; fr; pt
0034-7701,Revista de Antropologia,ANTHROPOLOGY; Human Sciences; en; es; pt
2317-7721,Revista de Direito da Cidade,Applied Social Sciences; LAW; en; es; pt
1415-9848,Revista de Economia Contemporânea,Applied Social Sciences; ECONOMICS; en; pt
0103-2003,Revista de Economia e Sociologia Rural,AGRICULTURAL ECONOMICS & POLICY; Applied Social Sciences; Human Sciences; SOCIOLOGY; en; pt
2965-1565,Revista de Filosofia Aurora,Human Sciences; PHILOSOPHY; en; es; pt
0034-8309,Revista de História (São Paulo),HISTORY; Human Sciences; en; es; fr; pt
2359-5639,Revista de Investigações Constitucionais,Applied Social Sciences; LAW; en; es; pt
0001-3714,Revista de Microbiologia,Agricultural Sciences; Biological Sciences; MICROBIOLOGY; en
1415-5273,Revista de Nutrição,Health Sciences; NUTRITION & DIETETICS; en; pt
1807-2577,Revista de Odontologia da UNESP,"DENTISTRY, ORAL SURGERY & MEDICINE; Health Sciences; en; es; pt"
0103-0663,Revista de Odontologia da Universidade de São Paulo,"DENTISTRY, ORAL SURGERY & MEDICINE; Health Sciences; en; pt"
0101-8108,Revista de Psiquiatria do Rio Grande do Sul,ACOUSTICS; Health Sciences; PSYCHIATRY; en; pt
0034-8910,Revista de Saúde Pública,"Health Sciences; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; SOCIOLOGY; en; es; pt"
0100-6991,Revista do Colégio Brasileiro de Cirurgiões,Health Sciences; SURGERY; en; pt
0104-8023,Revista do Departamento de Psicologia. UFF,"Human Sciences; PSYCHOLOGY, MULTIDISCIPLINARY; en; es; fr; pt"
0041-8781,Revista do Hospital das Clínicas,"Health Sciences; MEDICINE, GENERAL & INTERNAL; en"
0020-3874,Revista do Instituto de Estudos Brasileiros,AREA STUDIES; Human Sciences; es; pt
0036-4665,Revista do Instituto de Medicina Tropical de São Paulo,Biological Sciences; Health Sciences; TROPICAL MEDICINE; en; pt
0100-6762,Revista Árvore,Agricultural Sciences; FORESTRY; en; es; pt
2175-7860,Rodriguésia,Biological Sciences; ECOLOGY; PLANT SCIENCES; en; es; pt
1516-3180,Sao Paulo Medical Journal,"Health Sciences; MEDICINE, GENERAL & INTERNAL; en"
0104-1290,Saúde e Sociedade,"Health Sciences; Human Sciences; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; en; es; fr; pt"
0103-1104,Saúde em Debate,HEALTH CARE SCIENCES & SERVICES; HEALTH POLICY & SERVICES; Health Sciences; en; es; pt
0103-1759,Sba: Controle & Automação Sociedade Brasileira de Automatica,AUTOMATION & CONTROL SYSTEMS; Exact and Earth Sciences; en; es; pt
0103-9016,Scientia Agricola,"AGRICULTURE, MULTIDISCIPLINARY; Agricultural Sciences; la; pt"
1678-3166,Scientiae Studia,"HUMANITIES, MULTIDISCIPLINARY; Human Sciences; PHILOSOPHY; de; en; es; la; pt"
2177-7055,Sequência (Florianópolis),Applied Social Sciences; LAW; en; es; pt
0101-6628,Serviço Social & Sociedade,Applied Social Sciences; FAMILY STUDIES; SOCIAL WORK; en; es; pt
1984-6487,"Sexualidad, Salud y Sociedad (Rio de Janeiro)","Health Sciences; Human Sciences; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; en; es; pt"
1982-4513,Sociedade & Natureza,GEOGRAPHY; Human Sciences; en; es; fr; pt
0102-6992,Sociedade e Estado,Applied Social Sciences; Human Sciences; SOCIOLOGY; en; es; pt
2238-3875,Sociologia & Antropologia,"ANTHROPOLOGY; Human Sciences; SOCIAL SCIENCES, INTERDISCIPLINARY; SOCIOLOGY; en; es; pt"
1517-4522,Sociologias,Human Sciences; SOCIOLOGY; en; es; fr; pt
2675-5475,Soils and Rocks,"ENGINEERING, CIVIL; Engineering; en; es; pt"
0104-9224,Soldagem & Inspeção,Engineering; METALLURGY & METALLURGICAL ENGINEERING; en; es; pt
0100-5405,Summa Phytopathologica,Agricultural Sciences; PLANT SCIENCES; en; es; pt
0102-8839,São Paulo em Perspectiva,Applied Social Sciences; ECONOMICS; Human Sciences; pt
2179-8451,TEMA (São Carlos),"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS; Exact and Earth Sciences; MATHEMATICS, APPLIED; en; es; pt"
1413-7704,Tempo,Human Sciences; SOCIOLOGY; en; es; fr; pt
0103-2070,Tempo Social,Human Sciences; SOCIOLOGY; en; fr; pt
0104-0707,Texto & Contexto - Enfermagem,Health Sciences; NURSING; en; es; pt
1983-3652,Texto Livre,"Human Sciences; LANGUAGE & LINGUISTICS; Linguistics, Letters and Arts; en; es; pt"
2197-0025,Theoretical and Experimental Plant Physiology,AGRONOMY; Agricultural Sciences; PLANT SCIENCES; en; es; pt
2237-101X,Topoi (Rio de Janeiro),HISTORY; Human Sciences; en; es; pt
1981-7746,"Trabalho, Educação e Saúde","EDUCATION & EDUCATIONAL RESEARCH; Health Sciences; Human Sciences; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; en; es; pt"
0103-1813,Trabalhos em Linguística Aplicada,"LANGUAGE & LINGUISTICS; LINGUISTICS; Linguistics, Letters and Arts; en; es; pt"
0101-3173,Trans/Form/Ação,Human Sciences; PHILOSOPHY; de; en; es; fr; it; pt
0103-3786,Transinformação,Applied Social Sciences; INFORMATION SCIENCE & LIBRARY SCIENCE; af; en; es; fr; pt
2676-0029,Trends in Computational and Applied Mathematics,"Exact and Earth Sciences; MATHEMATICS; MATHEMATICS, APPLIED; en; es; pt"
2237-6089,Trends in Psychiatry and Psychotherapy,Health Sciences; PSYCHIATRY; en; es; pt
2358-1883,Trends in Psychology,Human Sciences; PHYSIOLOGY; en; es
1982-5676,Tropical Plant Pathology,Agricultural Sciences; PLANT SCIENCES; en; es; pt
1983-7151,Turismo: Visão e Ação,"Applied Social Sciences; SOCIAL SCIENCES, INTERDISCIPLINARY; en; es; pt"
0104-8775,Varia Historia,HISTORY; Human Sciences; en; es; fr; pt
2179-8699,Veredas do Direito,Applied Social Sciences; LAW; en; es; pt
1809-4341,Vibrant: Virtual Brazilian Anthropology,ANTHROPOLOGY; Human Sciences; en; es; fr; pt
1984-4670,Zoologia (Curitiba),Biological Sciences; ZOOLOGY; en; pt
1679-4508,einstein (São Paulo),"Health Sciences; MEDICINE, GENERAL & INTERNAL; en; es; pt"
2175-3369,urbe. Revista Brasileira de Gestão Urbana,Applied Social Sciences; URBAN STUDIES; en; es; fr; pt
1516-1498,Ágora: Estudos em Teoria Psicanalítica,"Human Sciences; PSYCHOLOGY, PSYCHOANALYSIS; en; es; pt"
