draw,alpha,beta_area_ri,p_cp,p_ri,delta_cp_minus_ri,odds_ratio_ri_cp
4197,-0.46113445,-1.3144001,0.3867167353159161,0.1448554029703191,0.241861332345597,0.26863542930468054
4198,-0.68843985,-0.91744703,0.3343802262030613,0.16716044957668041,0.16721977662638088,0.3995377480516963
4199,-0.68843054,-0.91390429,0.3343822983337991,0.1676555430928398,0.1667267552409593,0.40095571667723573
4200,0.11498054,-1.5283007,0.5287135079982487,0.19571090807722374,0.33300259992102493,0.21690393918905498
4201,0.040006228,-1.3472645,0.5100002232572346,0.21294599608090828,0.29705422717632635,0.259950383206202
4202,0.21773705,-1.4584995,0.554220219128908,0.22430329815728386,0.32991692097162406,0.23258500683081876
4203,-0.39435024,-1.5955958,0.40267050908869,0.12026257129099546,0.2824079377976946,0.20278767160810623
4204,-0.39457259,-1.2067376,0.40261702907445895,0.16779857739231932,0.23481845168213963,0.2991717068560606
4205,-0.60863632,-1.3198872,0.35237033448474026,0.12691409420196295,0.2254562402827773,0.26716543652746944
4206,-0.12497483,-1.7532606,0.46879689461495827,0.13259168719439327,0.33620520742056503,0.17320825886718016
4207,-0.24973869,-1.550601,0.43788781745599814,0.14180971969132533,0.2960780977646728,0.21212045111888536
4208,-0.21028982,-1.6021135,0.4476204294940934,0.14034791356292217,0.3072725159311712,0.20147026031035184
4209,-0.09212473,-1.619557,0.47698509242599857,0.15294571486971437,0.3240393775562842,0.19798638762888746
4210,-0.2238106,-2.0364425,0.4442797471747381,0.09446871544587843,0.3498110317288597,0.13049211180304465
4211,-0.73492453,-1.5891622,0.3241150048500336,0.08914765776167996,0.23496734708835362,0.20409653220031004
4212,-0.54299607,-1.7335171,0.3674908956785456,0.09308689997414543,0.27440399570440016,0.1766619781906011
4213,-0.62304849,-1.4325366,0.3490884378648722,0.11348925432628934,0.23559918353858286,0.23870266047846242
4214,0.037171377,-1.2305579,0.5092917743955216,0.23265380603336208,0.2766379683621596,0.29212955313169775
4215,0.030817166,-1.108005,0.507703681828894,0.254038561769913,0.253665120058981,0.3302170874653283
4216,0.0023544214,-0.8343628,0.5005886050780988,0.3032205766260431,0.19736802845205564,0.4341510343529631
4217,0.045406119,-0.79404144,0.5113495798498086,0.32111873022849574,0.19023084962131281,0.45201431016228005
4218,0.068788421,-0.70321099,0.5171903272848327,0.34650841117652803,0.1706819161083047,0.4949933306195865
4219,-0.40225477,-1.0903459,0.40077072791373464,0.18353170191635676,0.21723902599737788,0.33610021653285677
4220,-0.46669812,-1.0151279,0.38539805146796896,0.1851517681760376,0.20024628329193137,0.36235608152575216
4221,-0.37571037,-1.1564703,0.40716191885866865,0.17767485175025066,0.22948706710841799,0.3145946481829358
4222,-0.5188448,-2.5754493,0.3731223977350192,0.04334323227048728,0.3297791654645319,0.07611961457148063
4223,-0.45081344,-2.2328912,0.38916738081744867,0.06394178320544003,0.32522559761200864,0.10721799292286767
4224,-0.13191050000000001,-3.0979177,0.4670701105406352,0.03805853618429544,0.42901157435633974,0.04514310608159639
4225,0.10259117,-2.7840753,0.5256253210102858,0.06407481666252507,0.46155050434776074,0.06178619631907116
4226,-0.23195241,-1.5674503,0.4422704955552695,0.14192378817285936,0.3003467073824101,0.2085763119813396
4227,-0.65850049,-1.1470253,0.34107653606858707,0.14117974441811385,0.19989679165047322,0.3175800711011477
4228,-0.60643736,-1.7343417,0.3528723119666759,0.08780149800749489,0.26507081395918103,0.1765163627688746
4229,-0.62365472,-1.2584709,0.3489506994340205,0.1321449111751485,0.216805788258872,0.28408809365315724
4230,-0.54151372,-2.1323974,0.3678355227250679,0.06453046631830082,0.3033050564067671,0.11855273456164239
4231,-0.59498068,-1.4495491,0.35549287283512154,0.11460628460198025,0.2408865882331413,0.23467607968562113
4232,0.2037224,-2.5559642,0.5507551810575675,0.08688774711701845,0.463867433940549,0.07761735732005953
4233,-0.58034074,-1.2741122,0.3588541931649164,0.13535091807218858,0.22350327509272783,0.2796791571897757
4234,-0.62042599,-1.3319998,0.34968457285225174,0.12428909129642092,0.22539548155583083,0.2639488881690592
4235,-0.27890249,-1.8193249,0.4307228657710886,0.10926922892071383,0.32145363685037476,0.16213517144907533
4236,-0.25502934,-1.702015,0.43658599671037185,0.12378727391531254,0.3127987227950593,0.1823157873708998
4237,0.086917721,-2.0485172,0.521715760650676,0.12329405147711335,0.3984217091735627,0.12892593329726945
4238,-0.099766042,-1.5119846,0.47507915638137166,0.16634570180499603,0.30873345457637563,0.22047199477159202
4239,-0.015226817,-1.9410751,0.49619336929888247,0.12386782256651103,0.37232554673237145,0.14354953668093015
4240,-0.07792868,-1.8570222,0.48052768342153884,0.12620360449085885,0.35432407893067996,0.1561368832097077
4241,-0.3626194,-1.3656457,0.41032563128216587,0.1508096270197281,0.25951600426243776,0.2552158299118753
4242,-0.24261218,-1.6014109,0.4396427207962215,0.13657618438180338,0.30306653641441816,0.2016118630544647
4243,-0.057557636,-1.9453097,0.485614562218248,0.11890219869269206,0.3667123635255559,0.14294294705156196
4244,-0.011166965,-1.9933809,0.4972082877607404,0.11872625169562344,0.37848203606511693,0.13623405224943094
4245,-0.34790824,-2.3383717,0.41388975916982723,0.06378781616530133,0.3501019430045259,0.09648461629282938
4246,-0.21044016,-2.0532935,0.44758325726262677,0.09417139307174457,0.3534118641908822,0.12831161261986393
4247,-0.5555463,-2.1446208,0.3645785848905806,0.06296349658827227,0.3016150883023083,0.11711243766159851
4248,-0.43648516,-1.6482742,0.39257880321063815,0.11058697964713736,0.2819918235635008,0.19238163451699372
4249,-0.52840521,-1.5320384,0.37088892422678177,0.11300135849773046,0.2578875657290513,0.2160947305671616
4250,-0.47912524,-1.1890883,0.3824587083316046,0.15866250570301874,0.22379620262858588,0.3044987490654699
4251,-0.13754805,-2.3003267,0.4656671004498152,0.08032977909732254,0.38533732135249266,0.10022609450843496
4252,-0.22671928,-2.4151069,0.4435617247668406,0.06649458921723884,0.37706713554960175,0.0893577860638318
4253,-0.84912545,-1.6271567,0.2996163465203219,0.07753770630698133,0.22207864021334056,0.19648745341827784
4254,-0.84182394,-1.373424,0.30115078026374403,0.09838955123593715,0.20276122902780688,0.2532383851712136
4255,-0.46391201,-1.5486894,0.38605819764871074,0.1178861906701577,0.26817200697855303,0.21252632838714033
4256,-0.45163762,-1.9338045,0.38897147784304037,0.08428956518993788,0.3046819126531025,0.14459703128510562
4257,-0.30023947,-2.0362938,0.4254989438002872,0.08814214916174085,0.33735679463854634,0.13051151742284184
4258,-0.3806787,-2.1471465,0.4059632133133283,0.07393040573260808,0.33203280758072024,0.11681702000302982
4259,-0.47431674,-1.362718,0.3835950393725478,0.13740236622559468,0.24619267314695312,0.2559641201472765
4260,-0.59088152,-2.0202011,0.35643261825575207,0.06842855867822299,0.28800405957752906,0.13262879074828807
4261,-0.45315491,-1.748722,0.38861092029130834,0.0995820685565177,0.28902885173479065,0.17399616852174896
4262,-0.49085826,-2.1825657,0.379691404385736,0.0645598805972775,0.3151315237884585,0.11275187173311253
4263,-0.4362755,-1.6910037,0.3926288000040067,0.10647356325743598,0.28615523674657073,0.1843344146594167
4264,-0.4954176,-1.7035885,0.3786181525617318,0.09983977717887114,0.27877837538286065,0.18202913905917373
